"","pkg_name","title","pkg_ver","license","roxygen","n_depends","rversion"
"survtmle","survtmle","Compute Targeted Minimum Loss-Based Estimates in Right-Censored","1.0.0","MIT + file LICENSE","6.0.1",12,">= 3.0.0"
"tsensembler","tsensembler","Dynamic Ensembles for Time Series Forecasting","0.0.2","GPL (>= 2)","6.0.1",13,NA
"bioimagetools","bioimagetools","Some Tools for Imaging","0.3.0","GPL-3","5.0.1",7,">= 3.0.0"
"di","di","Deficit Index (DI)","1.0.0","GPL-3","6.0.1",3,">= 3.3.2"
"snpReady","snpReady","Preparing Genotypic Datasets in Order to Run Genomic Analysis","0.9.3","GPL-3","6.0.1",6,NA
"nmw","nmw","Understanding Nonlinear Mixed Effects Modeling for Population","0.1.1","GPL-3",NA,0,">= 3.0.0"
"swmmr","swmmr","R Interface for US EPA's SWMM","0.7.0","GPL-3","6.0.1",4,NA
"AnnotationBustR","AnnotationBustR","Extract Subsequences from GenBank Annotations","1.0","GPL (>= 2)","6.0.1",5,">= 3.2.3"
"esvis","esvis","Visualization and Estimation of Effect Sizes","0.1.0","MIT + file LICENSE","6.0.1",2,">= 3.1"
"SentimentAnalysis","SentimentAnalysis","Dictionary-Based Sentiment Analysis","1.2-0","MIT + file LICENSE","6.0.1",14,">= 2.10"
"spc4sts","spc4sts","Statistical Process Control for Stochastic Textured Surfaces","0.1.1","GPL-2","6.0.1",1,NA
"textstem","textstem","Tools for Stemming and Lemmatizing Text","0.0.1","GPL-2","5.0.1",9,">= 3.3.2"
"ggconf","ggconf","Simpler Appearance Modification of 'ggplot2'","0.1","GPL-3","5.0.1",9,">= 3.3.0"
"liureg","liureg","Liu Regression with Liu Biasing Parameters and Statistics","1.0","GPL (>= 2.0)",NA,0,NA
"ReinforcementLearning","ReinforcementLearning","Model-Free Reinforcement Learning","1.0.0","MIT + file LICENSE","6.0.1",6,">= 3.2.0"
"tint","tint","Tint is not Tufte","0.0.2","GPL-3","5.0.1",3,NA
"alfred","alfred","Downloading Time Series from ALFRED Database for Various","0.1.0","MIT + file LICENSE","6.0.1",10,">= 3.3.0"
"eply","eply","Apply a Function Over Expressions","0.1.0","GPL-3","5.0.1",5,">= 3.0.0"
"RWildbook","RWildbook","Interface for the 'Wildbook' Wildlife Data Management Framework","0.9.1","GPL (>= 2)","5.0.1",6,">= 3.0.0"
"bsplus","bsplus","Adds Functionality to the R Markdown + Shiny Bootstrap Framework","0.1.0","MIT + file LICENSE","5.0.1",11,">= 3.3.0"
"kernplus","kernplus","A Kernel Regression-Based Multidimensional Wind Turbine Power","0.1.0","GPL-3","6.0.1",5,">= 3.3.0"
"bigKRLS","bigKRLS","Optimized Kernel Regularized Least Squares","1.5.1","GPL (>= 2)","6.0.1",13,">= 3.3.0"
"data.world","data.world","Main Package for Working with 'data.world' Data Sets","1.1.1","Apache License 2.0","6.0.1",7,">= 3.3.0"
"factorMerger","factorMerger","Hierarchical Algorithm for Post-Hoc Testing","0.3.1","GPL","6.0.1",16,">= 3.2.3"
"fbar","fbar","An Extensible Approach to Flux Balance Analysis","0.1.16","GPL-3","5.0.1.9000",15,">= 3.0.0"
"ForestTools","ForestTools","Analysing Remotely Sensed Forest Data","0.1.0","GPL (>= 3)","5.0.1",12,">= 3.3.2"
"APfun","APfun","Geo-Processing Base Functions","0.1.0","GPL (>= 3)","5.0.1",1,NA
"epidata","epidata","Tools to Retrieve Economic Policy Institute Data Library","0.1.0","AGPL","5.0.1",10,">= 3.2.0"
"toxplot","toxplot","Batch Processing, Modeling and Visualizing the Dose-Response of","0.1.0","GPL (>= 2)","6.0.1",10,">= 3.3.0"
"UncertainInterval","UncertainInterval","Uncertain Area Methods for Cut-Point Determination in Tests","0.3.0","GPL (>= 2)","5.0.1",6,">= 3.0.0"
"sparseFLMM","sparseFLMM","Functional Linear Mixed Models for Irregularly or Sparsely","0.1.0","GPL-2","5.0.1",7,">= 3.3.1"
"cvequality","cvequality","Tests for the Equality of Coefficients of Variation from","0.1.1","MIT + file LICENSE","5.0.1",7,NA
"errorlocate","errorlocate","Locate Errors with Validation Rules","0.1.2","GPL-3","5.0.1",6,NA
"mstR","mstR","Procedures to Generate Patterns under Multistage Testing","1.0","GPL (>= 2)",NA,0,">= 2.8.0"
"normalr","normalr","Normalisation of Multiple Variables in Large-Scale Datasets","0.0.1","GPL","5.0.1",7,">= 3.3.2"
"bindrcpp","bindrcpp","An 'Rcpp' Interface to Active Bindings","0.1","MIT + file LICENSE","5.0.1.9000",5,NA
"geofacet","geofacet","'ggplot2' Faceting Utilities for Geographical Data","0.1.4","MIT + file LICENSE","6.0.1",9,">= 3.3.2"
"phantom","phantom","Gene Set Pareto Heterogeneity Analysis of Time-Course Gene","0.1.0","GPL-2","6.0.1.9000",9,">= 3.0.1"
"SeqKat","SeqKat","Detection of Kataegis","0.0.4","GPL-2","6.0.1",8,">= 2.15.1"
"encode","encode","Represent Ordered Lists and Pairs as Strings","0.2","GPL-3","6.0.1",0,NA
"productivity","productivity","Indices of Productivity Using Data Envelopment Analysis (DEA)","0.1.0","GPL-3",NA,5,">= 2.16"
"SubTite","SubTite","Subgroup Specific Optimal Dose Assignment","1.0.0","GPL-2","6.0.1",3,NA
"bairt","bairt","Bayesian Analysis of Item Response Theory Models","0.1.1","GPL (>= 2)","6.0.1",6,">= 3.1.0"
"dfped","dfped","Extrapolation and Bridging of Adult Information in Early Phase","1.0","GPL (>= 3)","6.0.1",7,">= 3.0.2"
"ssc","ssc","Semi-Supervised Classification Methods","1.0","GPL-2","5.0.1",4,">= 2.4.0"
"quotedargs","quotedargs","A Way of Writing Functions that Quote their Arguments","0.1.0","GPL-2 | GPL-3",NA,0,NA
"blob","blob","A Simple S3 Class for Representing Vectors of Binary Data","1.0.0","GPL-3","5.0.1",3,NA
"interp","interp","Interpolation Methods","1.0-27","GPL (>= 2)",NA,6,NA
"orthoDr","orthoDr","An Orthogonality Constrained Optimization Approach for","0.1.0","GPL (>= 2)","6.0.1",7,NA
"windfarmGA","windfarmGA","Genetic Algorithm for Wind Farm Layout Optimization","1.0","MIT + file LICENSE","6.0.1",21,">= 3.2.3"
"DMRnet","DMRnet","Delete or Merge Regressors Algorithms for Linear and Logistic","0.1.0","GPL-2","5.0.1",5,NA
"sfdct","sfdct","Constrained Triangulation for Simple Features","0.0.3","CC BY-NC-SA 4.0","6.0.1",12,">= 3.3.2"
"DPWeibull","DPWeibull","Dirichlet Process Weibull Mixture Model for Survival Data","1.0","GPL (>= 2)","5.0.1",5,NA
"GPGame","GPGame","Solving Complex Game Problems using Gaussian Processes","1.0.0","GPL-3","5.0.1",11,NA
"SetTest","SetTest","Group Testing Procedures for Signal Detection and","0.1.0","GPL-2","5.0.1",0,NA
"AdapSamp","AdapSamp","Adaptive Sampling Algorithms","1.0","GPL-2","6.0.1",3,NA
"horserule","horserule","Flexible Non-Linear Regression with the HorseRule Algorithm","0.1.0","GPL-3","6.0.1",10,NA
"incR","incR","Analysis of Incubation Data","0.3.1","GPL-3","6.0.1",10,">= 3.4.0"
"RNRCS","RNRCS","Download NRCS Data","0.1.0","GPL-3","6.0.1",3,">= 3.3.1"
"descriptr","descriptr","Descriptive Statistics & Distributions Exploration","0.1.0","MIT + file LICENSE","5.0.1",7,">= 3.2.4"
"eventdataR","eventdataR","Event Data Repository","0.1.0","MIT + file LICENSE","6.0.1",2,">= 3.0"
"rarhsmm","rarhsmm","Regularized Autoregressive Hidden Semi Markov Model","1.0.1","GPL","6.0.1",1,">= 3.0.0"
"gamRR","gamRR","Calculate the RR for the GAM","0.1.0","GPL-3",NA,1,NA
"metScanR","metScanR","Find, Map, and Gather Data from Meteorological Stations","0.0.1","GPL-3","5.0.1.9000",6,">= 3.3.1"
"RNAsmc","RNAsmc","RNA Secondary Structure Module Mining, Comparison and Plotting","0.1.0","GPL-2",NA,3,NA
"g2f","g2f","Find and Fill Gaps in Metabolic Networks","0.1","GPL-2","5.0.1",3,NA
"QuantTools","QuantTools","Enhanced Quantitative Trading Modelling","0.5.0","GPL-3","5.0.1",6,">= 2.10"
"Rgb","Rgb","The R Genome Browser","1.5.0","GPL (>= 3)",NA,7,">= 3.0.0"
"datetime","datetime","Nominal Dates, Times, and Durations","0.1.2","GPL-3",NA,2,NA
"splithalf","splithalf","Calculate Task Split Half Reliability Estimates","0.1.0","GPL-3","6.0.1.9000",7,">= 3.3.2"
"survidm","survidm","Inference and Prediction in an Illness-Death Model","0.1.0","GPL-3","6.0.1",7,">= 3.0.0"
"wpp2017","wpp2017","World Population Prospects 2017","1.0-1","GPL (>= 2)",NA,0,">= 2.14.2"
"EthSEQ","EthSEQ","Ethnicity Annotation from Whole Exome Sequencing Data","2.0.0","GPL-3","5.0.1",10,">= 2.15"
"metaviz","metaviz","Rainforest Plots for Meta-Analysis","0.1.0","GPL-2","5.0.1",7,">= 2.10"
"MonteCarlo","MonteCarlo","Automatic Parallelized Monte Carlo Simulations","1.0.0","GPL-2","5.0.1",10,">= 3.0.2"
"rdlocrand","rdlocrand","Local Randomization Methods for RD Designs","0.1","GPL-2","6.0.1",2,">= 3.1"
"adaptiveGPCA","adaptiveGPCA","Adaptive Generalized PCA","0.1.1","AGPL-3","6.0.1",6,">= 3.1.0"
"gfmR","gfmR","Implements Group Fused Multinomial Regression","1.0-1","GPL-2",NA,5,">= 3.1.0"
"patentsview","patentsview","An R Client to the PatentsView API","0.1.0","MIT + file LICENSE","6.0.1.9000",6,">= 3.1"
"assignPOP","assignPOP","Population Assignment using Genomic, Non-Genetic or Integrated","1.1.1","GPL (>= 2)","5.0.1",15,">= 2.3.2"
"bindr","bindr","Parametrized Active Bindings","0.1","MIT + file LICENSE","5.0.1.9000",1,NA
"pacotest","pacotest","Testing for Partial Copulas and the Simplifying Assumption in","0.2.1","MIT + file LICENSE",NA,10,NA
"xtractomatic","xtractomatic","Accessing Environmental Data from ERD's ERDDAP Server","3.1.1","CC0","5.0.1",14,">= 3.3.0"
"aniDom","aniDom","Inferring Dominance Hierarchies and Estimating Uncertainty","0.1.1","GPL-2",NA,1,NA
"gfer","gfer","Green Finance and Environmental Risk","0.1.3","GPL-2","5.0.1",6,NA
"widyr","widyr","Widen, Process, then Re-Tidy Data","0.1.0","MIT + file LICENSE","6.0.1",22,NA
"datetimeutils","datetimeutils","Utilities for Dates and Times","0.2-7","GPL-3",NA,0,NA
"Rcriticor","Rcriticor","Critical Periods","1.1","GPL (>= 2)",NA,0,">= 3.2.0"
"rmonad","rmonad","A Monadic Pipeline System","0.1.0","GPL-3","6.0.1",6,">= 3.2.0"
"sim1000G","sim1000G","Genotype Simulations for Rare or Common Variants Using","1.3","GPL (>= 2)","5.0.1",9,">= 2.15.2"
"cronR","cronR","Schedule R Scripts and Processes with the 'cron' Job Scheduler","0.3.0","MIT + file LICENSE","5.0.1",6,NA
"EpiILM","EpiILM","Spatial and Network Based Individual Level Models for Epidemics","1.0","GPL (>= 2)",NA,4,">= 3.2.0"
"wgeesel","wgeesel","Weighted Generalized Estimating Equations and Model Selection","1.0","GPL-2",NA,5,">= 3.0.0"
"lime","lime","Local Interpretable Model-Agnostic Explanations","0.3.0","MIT + file LICENSE","6.0.1",23,NA
"anomalyDetection","anomalyDetection","Implementation of Augmented Network Log Anomaly Detection","0.1.0","GPL (>= 2)","6.0.1",17,">= 2.10"
"ACMEeqtl","ACMEeqtl","Estimation of Interpretable eQTL Effect Sizes Using a Log of","1.4","LGPL-3",NA,6,">= 3.3.0"
"KraljicMatrix","KraljicMatrix","A Quantified Implementation of the Kraljic Matrix","0.1.0","MIT + file LICENSE","5.0.1",6,">= 2.10"
"origami","origami","Generalized Framework for Cross-Validation","0.8.0","GPL-3","6.0.1",12,">= 3.0.0"
"robets","robets","Forecasting Time Series with Robust Exponential Smoothing","1.0","GPL (>= 2)","5.0.1",3,">= 3.1.1"
"slickR","slickR","Create Interactive Carousels with the JavaScript 'Slick' Library","0.1.0","GPL-2 | GPL-3","6.0.1",7,">= 2.3.0"
"adeba","adeba","Adaptive Density Estimation by Bayesian Averaging","1.0.1","GPL (>= 2)","6.0.1",7,NA
"hansard","hansard","Provides Easy Downloading Capabilities for the UK Parliament API","0.2.5","MIT + file LICENSE","5.0.1",6,NA
"RcmdrPlugin.aRnova","RcmdrPlugin.aRnova","R Commander Plug-in for Repeated-Measures ANOVA","0.0.4","GPL (>= 2)","6.0.1",2,">= 3.2.0"
"tmcn","tmcn","A Text Mining Toolkit for Chinese","0.2-8","LGPL","6.0.1",3,">= 3.0.0"
"OpenML","OpenML","Exploring Machine Learning Better, Together","1.0","BSD_2_clause + file LICENSE","5.0.1",23,">= 3.0.2"
"rpostgisLT","rpostgisLT","Managing Animal Movement Data with 'PostGIS' and R","0.4.0","GPL (>= 3)","5.0.1",8,">= 3.3.0"
"ashr","ashr","Methods for Adaptive Shrinkage, using Empirical Bayes","2.0.5","GPL (>= 3)","5.0.1",14,">= 3.1.0"
"DoE.MIParray","DoE.MIParray","Creation of Arrays by Mixed Integer Programming","0.10","GPL (>= 2)",NA,7,NA
"fauxpas","fauxpas","HTTP Error Helpers","0.1.0","MIT + file LICENSE","5.0.1",8,NA
"GetITRData","GetITRData","Reading Quarterly Financial Reports from Bovespa's ITR System","0.5","GPL-2","6.0.1",14,">= 3.3.0"
"ldhmm","ldhmm","Hidden Markov Model for Return Time-Series Based on Lambda","0.1.0","Artistic-2.0","5.0.1",15,">= 3.3.1"
"idmTPreg","idmTPreg","Regression Model for Progressive Illness Death Data","1.0","GPL-2",NA,6,">= 3.4.0"
"projector","projector","Project Dense Vectors Representation of Texts on a 2D Plan","0.0.1","MIT + file LICENSE","6.0.1",14,">= 3.1"
"worldmet","worldmet","Import Surface Meteorological Data from NOAA Integrated Surface","0.7.5","GPL (>= 2)","5.0.1",7,">= 3.2.0"
"zenplots","zenplots","Zigzag Expanded Navigation Plots","0.0-1","GPL-2 | GPL-3",NA,20,">= 3.0.0"
"fuzzywuzzyR","fuzzywuzzyR","Fuzzy String Matching","1.0.0","GPL-2","5.0.1",6,">= 3.2.3"
"photobiologyLamps","photobiologyLamps","Spectral Data of Light Emission by Lamps","0.4.1","GPL (>= 3)","5.0.1",5,">= 3.2.0"
"rospca","rospca","Robust Sparse PCA using the ROSPCA Algorithm","1.0.0","GPL (>= 2)",NA,11,">= 2.13.0"
"nzpullover","nzpullover","Driving Offences in New Zealand Between 2009 and 2016","0.0.2","CC0","5.0.1.9000",0,">= 3.2.5"
"Rcssplot","Rcssplot","Styling of Graphics using Cascading Style Sheets","0.2.0.0","GPL-2","5.0.1",5,">= 3.1.2"
"rpgm","rpgm","Fast Simulation of Normal Random Variables","0.1.3","GPL-3",NA,0,NA
"stoRy","stoRy","Theme Enrichment Analysis for Stories","0.1.0","GPL-3","6.0.1",2,">= 3.1.0"
"bea.R","bea.R","Bureau of Economic Analysis API","1.0.0","CC0","5.0.1",23,">= 3.2.1"
"CPBayes","CPBayes","Bayesian Meta Analysis for Studying Cross-Phenotype Genetic","0.1.0","GPL-3","5.0.1",5,">= 3.2.0"
"multfisher","multfisher","Optimal Exact Tests for Multiple Binary Endpoints","1.0","GPL-3","6.0.1",1,">= 3.0.0"
"BEACH","BEACH","Biometric Exploratory Analysis Creation House","1.1.1","GPL (>= 2)",NA,11,">= 3.1.0"
"lassopv","lassopv","Nonparametric P-Value Estimation for Predictors in Lasso","0.1.1","GPL-3",NA,2,">= 2.10"
"suncalc","suncalc","Compute Sun Position, Sunlight Phases, Moon Position and Lunar","0.1","GPL-2 | file LICENSE","6.0.1",1,NA
"VeryLargeIntegers","VeryLargeIntegers","Store and Manage Arbitrarily Big Integers","0.1.0","GPL","6.0.1",2,NA
"CircMLE","CircMLE","Maximum Likelihood Analysis of Circular Data","0.1.0","GPL (>= 2)","6.0.1.9000",2,">= 3.2.2"
"sNPLS","sNPLS","NPLS Regression with L1 Penalization","0.1.1","GPL (>= 2)","5.0.1",6,NA
"confSAM","confSAM","Estimates and Bounds for the False Discovery Proportion, by","0.1","GNU General Public License",NA,3,NA
"ratios","ratios","Ratios Between Two Data Sets and Correction for Adhering","1.0.0","GPL-3","6.0.1",2,">= 2.10"
"ggmuller","ggmuller","Create Muller Plots of Evolutionary Dynamics","0.2.0","MIT + file LICENSE","6.0.1",6,">= 3.2.0"
"PakPC2017","PakPC2017","Pakistan Population Census 2017","0.1.0","GPL-2","6.0.1",4,">= 3.1"
"Brundle","Brundle","Normalisation Tools for Inter-Condition Variability of ChIP-Seq","1.0.5","CC BY 4.0","6.0.1",7,NA
"clust.bin.pair","clust.bin.pair","Statistical Methods for Analyzing Clustered Matched Pair Data","0.0.6","MIT + file LICENSE","5.0.1",1,">= 3.2.4"
"ratesci","ratesci","Confidence Intervals for Comparisons of Binomial or Poisson","0.1-0","GPL-3","5.0.1",1,">= 3.2.4"
"EMMIXcskew","EMMIXcskew","Fitting Mixtures of CFUST Distributions","0.9-4","GPL",NA,7,NA
"inferr","inferr","Inferential Statistics","0.1.0","MIT + file LICENSE","5.0.1",11,">= 3.2.4"
"mopa","mopa","Species Distribution MOdeling with Pseudo-Absences","1.0.0","GPL-3","6.0.1",19,">= 3.4.0"
"Rilostat","Rilostat","ILO Open Data via Ilostat Bulk Download Facility or SDMX Web","0.1","BSD_2_clause + file LICENSE","6.0.1",24,">= 3.3.0"
"revdbayes","revdbayes","Ratio-of-Uniforms Sampling for Bayesian Extreme Value Analysis","1.0.0","GPL (>= 2)","5.0.1",10,">= 3.3.1"
"swCRTdesign","swCRTdesign","Stepped Wedge Cluster Randomized Trial (SW CRT) Design","2.1","GPL-2",NA,0,NA
"tatoo","tatoo","Combine and Export Data Frames","1.0.5","MIT + file LICENSE","6.0.1",12,NA
"fivethirtyeight","fivethirtyeight","Data and Code Behind the Stories and Interactives at","0.1.0","MIT + file LICENSE","5.0.1",10,">= 3.2.4"
"tidygraph","tidygraph","A Tidy API for Graph Manipulation","1.0.0","GPL (>= 2)","6.0.1",19,NA
"npcopTest","npcopTest","Non Parametric Test for Detecting Changes in the Copula","1.02","GPL (>= 3)",NA,0,NA
"vote","vote","Election Vote Counting","1.0-0","GPL (>= 2)",NA,2,NA
"adepro","adepro","A Shiny Application for the (Audio-)Visualization of Adverse","0.1.0","GPL-3","6.0.1",10,NA
"OutliersO3","OutliersO3","Draws Overview of Outliers (O3) Plot","0.2.1","GPL (>= 2)","6.0.1",18,">= 3.4.0"
"PTXQC","PTXQC","Quality Report Generation for MaxQuant Results","0.80.13","GPL-2","5.0.1",20,">= 3.0.0"
"valuer","valuer","Pricing of Variable Annuities","1.1.0","GPL-3","5.0.1",12,">= 3.2.5"
"MBC","MBC","Multivariate Bias Correction of Climate Model Outputs","0.1","GPL-2",NA,2,">= 2.10"
"multiApply","multiApply","Apply Functions to Multiple Multidimensional Arguments","0.0.1","LGPL-3","5.0.0",5,">= 3.2.0"
"quantoptr","quantoptr","Algorithms for Quantile- And Mean-Optimal Treatment Regimes","0.1.2","GPL (>= 2)","5.0.1.9000",8,">= 3.2"
"survivalsvm","survivalsvm","Survival Support Vector Analysis","0.0.2","GPL","6.0.1",7,NA
"aVirtualTwins","aVirtualTwins","Adaptation of Virtual Twins Method from Jared Foster","1.0.0","GPL-3 | file LICENSE","5.0.1",8,">= 3.2.0"
"gk","gk","g-and-k and g-and-h Distribution Functions","0.4.0","GPL-2","5.0.1",2,NA
"pcev","pcev","Principal Component of Explained Variance","1.1.1","GPL (>= 2)",NA,3,">= 3.0.0"
"ICSOutlier","ICSOutlier","Outlier Detection Using Invariant Coordinate Selection","0.2-0","GPL (>= 2)",NA,7,">= 3.0.0"
"pipeGS","pipeGS","Permutation p-Value Estimation for Gene Set Tests","0.1","GPL-2","5.0.1",1,NA
"SpaDES.addins","SpaDES.addins","Development Tools for 'SpaDES' and 'SpaDES' Modules","0.1.0","GPL-3","6.0.1",10,">= 3.3.3"
"cifti","cifti","Toolbox for Connectivity Informatics Technology Initiative","0.4.2","GPL-2","6.0.1",6,NA
"gifti","gifti","Reads in Neuroimaging 'GIFTI' Files with Geometry Information","0.7.1","GPL-2","6.0.1",7,NA
"modmarg","modmarg","Calculating Marginal Effects and Levels with Errors","0.5.0","GPL-2","5.0.1",3,">= 2.10.0"
"opticut","opticut","Likelihood Based Optimal Partitioning for Indicator Species","0.1-0","GPL-2",NA,7,">= 3.1.0"
"denoiSeq","denoiSeq","Differential Expression Analysis Using a Bottom-Up Model","0.1.0","GPL-2","6.0.1",6,NA
"nlsr","nlsr","Functions for Nonlinear Least Squares Solutions","2017.2.12","GPL-2",NA,11,">= 3.0"
"OOR","OOR","Optimistic Optimization in R","0.1.1","LGPL","6.0.0",1,NA
"BeSS","BeSS","Best Subset Selection for Sparse Generalized Linear Model and","1.0.0","GPL-3",NA,6,">= 2.0.0"
"ggQC","ggQC","Quality Control Charts for the Grammar of Graphics Plotting","0.0.1","GPL-3 | file LICENSE","6.0.0",8,">= 2.10"
"RBMRB","RBMRB","BMRB Data Access and Visualization","2.0.2","GPL-2","5.0.1",6,">= 3.3.0"
"robustBLME","robustBLME","Robust Bayesian Linear Mixed-Effects Models using ABC","0.1.2","GPL-2","6.0.1",13,">= 3.0.0"
"spatstat.local","spatstat.local","Extension to 'spatstat' for Local Composite Likelihood","3.5-6","GPL (>= 2)",NA,5,">= 3.3.0"
"tibbletime","tibbletime","Time Aware Tibbles","0.0.1","MIT + file LICENSE","6.0.1",10,">= 3.3.0"
"atsd","atsd","Support Querying Axibase Time-Series Database","1.0.8441","Apache License 2.0",NA,5,">= 3.1.2"
"ludic","ludic","Linkage Using Diagnosis Codes","0.1.3","MIT + file LICENSE","5.0.1",6,NA
"phylotate","phylotate","Phylogenies with Annotations","1.0","MIT + file LICENSE",NA,1,">= 3.0.0"
"tRophicPosition","tRophicPosition","Bayesian Trophic Position Calculation with Stable Isotopes","0.7.0","GPL (>= 2)","6.0.1",14,">= 3.4.0"
"waver","waver","Calculate Fetch and Wave Energy","0.2.0","GPL-3","5.0.1",6,">= 3.2.2"
"clustRcompaR","clustRcompaR","Easy Interface for Clustering a Set of Documents and Exploring","0.1.0","GPL-3","5.0.1",7,">= 3.1.3"
"libsoc","libsoc","Read, Create and Write 'PharmML' Standard Output (so) XML Files","0.5","LGPL-3",NA,1,">= 2.14.1"
"zeallot","zeallot","Multiple and Unpacking Variable Assignment","0.0.2","MIT + file LICENSE","5.0.1",4,NA
"ANOVAreplication","ANOVAreplication","Test ANOVA Replications by Means of the Prior Predictive p-Value","1.0.0","GPL (>= 2)",NA,4,NA
"bigtcr","bigtcr","Nonparametric Analysis of Bivariate Gap Time with Competing","1.0","GPL (>= 3)","5.0.1",0,">= 3.3.1"
