"","pkg_name_vec","pkg_title.df"
"rFTRLProximal","rFTRLProximal","FTRL-Proximal Algorithm"
"spark.sas7bdat","spark.sas7bdat","Read in 'SAS' Data ('.sas7bdat' Files) into 'Apache Spark'"
"UStatBookABSC","UStatBookABSC","A Companion Package to the Book ""U-Statistics, M-Estimation and"
"DISTRIB","DISTRIB",""
"factorcpt","factorcpt","Simultaneous Change-Point and Factor Analysis"
"utf8latex","utf8latex","Importing, Exporting and Converting Between Datasets and LaTeX"
"findviews","findviews","A View Generator for Multidimensional Data"
"ggguitar","ggguitar","Utilities for Creating Guitar Tablature"
"ROI.models.netlib","ROI.models.netlib","'ROI' Optimization Problems Based on 'NETLIB-LP'"
"ztype","ztype","Run a Ztype Game Loaded with R Functions"
"crosstalk","crosstalk","Inter-Widget Interactivity for HTML Widgets"
"pgee.mixed","pgee.mixed","Penalized Generalized Estimating Equations for Bivariate Mixed"
"rocNIT","rocNIT","Non-Inferiority Test for Paired ROC Curves"
"SpaTimeClus","SpaTimeClus","Model-Based Clustering of Spatio-Temporal Data"
"aws.ses","aws.ses","AWS SES Client Package"
"SPPcomb","SPPcomb","Combining Different Spatial Datasets in Cancer Risk Estimation"
"stmgui","stmgui","Shiny Application for Creating STM Models"
"pipeliner","pipeliner","Machine Learning Pipelines for R"
"DirectStandardisation","DirectStandardisation","Adjusted Means and Proportions by Direct Standardisation"
"magicfor","magicfor","Magic Functions to Obtain Results from for Loops"
"MTDrh","MTDrh","Mass Transportation Distance Rank Histogram"
"MWRidge","MWRidge","Two Stage Moving-Window Ridge Method for Prediction and"
"PepSAVIms","PepSAVIms","PepSAVI-MS Data Analysis"
"FinancialMath","FinancialMath","Financial Mathematics for Actuaries"
"coprimary","coprimary","Sample Size Calculation for Two Primary Time-to-Event Endpoints"
"BTYDplus","BTYDplus","Probabilistic Models for Assessing and Predicting your Customer"
"bpp","bpp","Computations Around Bayesian Predictive Power"
"MODISSnow","MODISSnow","Provides a Function to Download MODIS Snow Cover"
"poptrend","poptrend","Estimate Smooth and Linear Trends from Population Count Survey"
"ampd","ampd","An Algorithm for Automatic Peak Detection in Noisy Periodic and"
"DNLC","DNLC","Differential Network Local Consistency Analysis"
"errorizer","errorizer","Function Errorizer"
"rtrends","rtrends","Analyze Download Logs from the CRAN RStudio Mirror"
"CuCubes","CuCubes","MultiDimensional Feature Selection (MDFS)"
"GLMaSPU","GLMaSPU","An Adaptive Test on High Dimensional Parameters in Generalized"
"magree","magree","Implements the O'Connell-Dobson-Schouten Estimators of Agreement"
"rrr","rrr","Reduced-Rank Regression"
"aws.polly","aws.polly","Client for AWS Polly"
"gofMC","gofMC","Goodness of Fit Noise Analysis Using Monte Carlo Techniques"
"Radviz","Radviz","Project Multidimensional Data in 2D Space"
"DCM","DCM","Data Converter Module"
"icesVocab","icesVocab","ICES Vocabularies Database Web Services"
"rccmisc","rccmisc","Miscellaneous R Functions for Swedish Regional Cancer Centers"
"robustsae","robustsae","Robust Bayesian Small Area Estimation"
"AmmoniaConcentration","AmmoniaConcentration","Un-Ionized Ammonia Concentration"
"bannerCommenter","bannerCommenter","Make Banner Comments with a Consistent Format"
"bridger2","bridger2","Genome-Wide RNA Degradation Analysis Using BRIC-Seq Data"
"easypackages","easypackages","Easy Loading and Installing of Packages"
"melviewr","melviewr","View and Classify MELODIC Output for ICA+FIX"
"MultiBD","MultiBD","Multivariate Birth-Death Processes"
"optigrab","optigrab","Command-Line Parsing for an R World"
"PANDA","PANDA","Preferential Attachment Based Common Neighbor Distribution"
"rt3","rt3","Tic-Tac-Toe Package for R"
"tswge","tswge","Applied Time Series Analysis"
"phuassess","phuassess","Proportional Habitat Use Assessment"
"SISIR","SISIR","Sparse Interval Sliced Inverse Regression"
"rhnerm","rhnerm","Random Heteroscedastic Nested Error Regression"
"ClimDown","ClimDown","Climate Downscaling Library for Daily Climate Model Output"
"vkR","vkR","Access to VK API via R"
"deconvolveR","deconvolveR","Empirical Bayes Estimation Strategies"
"freqdist","freqdist","Frequency Distribution"
"gbs2ploidy","gbs2ploidy","Inference of Ploidy from (Genotyping-by-Sequencing) GBS Data"
"rxSeq","rxSeq","Combined Total and Allele Specific Reads Sequencing Study"
"camsRad","camsRad","Client for CAMS Radiation Service"
"eMLEloglin","eMLEloglin","Fitting log-Linear Models in Sparse Contingency Tables"
"effectFusion","effectFusion","Bayesian Effect Fusion for Categorical Predictors"
"listdtr","listdtr","List-Based Rules for Dynamic Treatment Regimes"
"Przewodnik","Przewodnik","Datasets and Functions Used in the Book 'Przewodnik po Pakiecie"
"testassay","testassay","A Hypothesis Testing Framework for Validating an Assay for"
"tsdisagg2","tsdisagg2","Time Series Disaggregation"
"GeomComb","GeomComb","(Geometric) Forecast Combination Methods"
"notifyme","notifyme","Send Alerts to your Cellphone and Phillips Hue Lights"
"aslib","aslib","Interface to the Algorithm Selection Benchmark Library"
"dynetNLAResistance","dynetNLAResistance","Resisting Neighbor Label Attack in a Dynamic Network"
"rIsing","rIsing","High-Dimensional Ising Model Selection"
"rlo","rlo","Utilities for Writing to 'LibreOffice Writer' Documents"
"survAWKMT2","survAWKMT2","Two-Sample Tests Based on Differences of Kaplan-Meier Curves"
"quarrint","quarrint","Interaction Prediction Between Groundwater and Quarry Extension"
"RDStreeboot","RDStreeboot","RDS Tree Bootstrap Method"
"epistasis","epistasis","Detecting Epistatic Selection with Partially Observed Genotype"
"SpaCCr","SpaCCr","Spatial Convex Clustering"
"strat","strat","An Implementation of the Stratification Index"
"mbclusterwise","mbclusterwise","Clusterwise Multiblock Analyses"
"ockc","ockc","Order Constrained Solutions in k-Means Clustering"
"Rdtq","Rdtq","Density Tracking by Quadrature"
"pstest","pstest","Specification Tests for Parametric Propensity Score Models"
"relabeLoadings","relabeLoadings","Relabel Loadings from MCMC Output for Confirmatory Factor"
"ADCT","ADCT","Adaptive Design in Clinical Trials"
"climbeR","climbeR","Calculate Average Minimal Depth of a Maximal Subtree for"
"DGCA","DGCA","Differential Gene Correlation Analysis"
"gwfa","gwfa","Geographically Weighted Fractal Analysis"
"NegBinBetaBinreg","NegBinBetaBinreg","Negative Binomial and Beta Binomial Bayesian Regression Models"
"tinsel","tinsel","Transform Functions using Decorators"
"apdesign","apdesign","An Implementation of the Additive Polynomial Design Matrix"
"colormap","colormap","Color Palettes using Colormaps Node Module"
"WEE","WEE","Weighted Estimated Equation (WEE) Approaches in Genetic"
"PhyInformR","PhyInformR","Rapid Calculation of Phylogenetic Information Content"
"CSclone","CSclone","Bayesian Nonparametric Modeling in R"
"flock","flock","Process Synchronization Using File Locks"
"jointNmix","jointNmix","Joint N-Mixture Models for Site-Associated Species"
"LEANR","LEANR","Finds ""Local Subnetworks"" Within an Interaction Network which"
"Planesmuestra","Planesmuestra","Functions for Calculating Dodge Romig, MIL STD 105E and MIL STD"
"ptest","ptest","Periodicity Tests in Short Time Series"
"qiitr","qiitr","R Interface to Qiita API"
"sparkline","sparkline","'jQuery' Sparkline 'htmlwidget'"
"XRSCC","XRSCC","Statistical Quality Control Simulation"
"medfate","medfate","Mediterranean Forest Simulation"
"cthreshER","cthreshER","Continuous Threshold Expectile Regression"
"exteriorMatch","exteriorMatch","Constructs the Exterior Match from Two Matched Control Groups"
"RSIP","RSIP","Remote Sensing and Image Processing"
"HARtools","HARtools","Read HTTP Archive ('HAR') Data"
"horseshoe","horseshoe","Implementation of the Horseshoe Prior"
"msaFACE","msaFACE","Moving Subset Analysis FACE"
"pirate","pirate","Generated Effect Modifier"
"rehh.data","rehh.data","Searching for Footprints of Selection using Haplotype"
"wvtool","wvtool","Image Tools for Automated Wood Identification"
"diffrprojectswidget","diffrprojectswidget","Visualization for 'diffrprojects'"
"regtools","regtools","Regression Tools"
"Rga4gh","Rga4gh","An Interface to the GA4GH API"
"starmie","starmie","Population Structure Model Inference and Visualisation"
"varband","varband","Variable Banding of Large Precision Matrices"
"diffrprojects","diffrprojects","Projects for Text Version Comparison and Analytics in R"
"varSel","varSel","Sequential Forward Floating Selection using Jeffries-Matusita"
"ordcrm","ordcrm","Likelihood-Based Continual Reassessment Method (CRM) Dose"
"packagedocs","packagedocs","Build Website of Package Documentation"
"MiRAnorm","MiRAnorm","Adaptive Normalization for miRNA Data"
"rtext","rtext","R6 Objects for Text and Data"
"stringb","stringb","Convenient Base R String Handling"
"rRAP","rRAP","Real-Time Adaptive Penalization for Streaming Lasso Models"
"AdjBQR","AdjBQR","Adjusted Bayesian Quantile Regression Inference"
"gtheory","gtheory","Apply Generalizability Theory with R"
"mhtboot","mhtboot","Multiple Hypothesis Test Based on Distribution of p Values"
"RDota2","RDota2","An R Steam API Client for Valve's Dota2"
"rgeoapi","rgeoapi","Get Information from the GeoAPI"
"endogenous","endogenous","Classical Simultaneous Equation Models"
"spftir","spftir","Pre-Processing and Analysis of Mid-Infrared Spectral Region"
"triangulation","triangulation","Determine Position of Observer"
"MIDN","MIDN","Nearly Exact Sample Size Calculation for Exact Powerful"
"spellcheckr","spellcheckr","Correct the Spelling of a Given Word in the English Language"
"fizzbuzzR","fizzbuzzR","Fizz Buzz Implementation"
"countyweather","countyweather","Compiles Meterological Data for U.S. Counties"
"IRATER","IRATER","A R Interface for the Instantaneous RATEs (IRATE) Model"
"gym","gym","Provides Access to the OpenAI Gym API"
"ABC.RAP","ABC.RAP","Array Based CpG Region Analysis Pipeline"
"corlink","corlink","Record Linkage, Incorporating Imputation for Missing Agreement"
"ggloop","ggloop","Create 'ggplot2' Plots in a Loop"
"MullerPlot","MullerPlot","Generates Muller Plot from Population/Abundance/Frequency"
"validatejsonr","validatejsonr","Validate JSON Against JSON Schemas"
"PCSinR","PCSinR","Parallel Constraint Satisfaction Networks in R"
"cryst","cryst","Calculate the Relative Crystallinity of Starch by XRD and FTIR"
"TDPanalysis","TDPanalysis","Granier's Sap Flow Sensors (TDP) Analysis"
"GraphFactor","GraphFactor","Network Topology of Intravariable Clusters with Intervariable"
"KnapsackSampling","KnapsackSampling","Generate Feasible Samples of a Knapsack Problem"
"fontLiberation","fontLiberation","Liberation Fonts"
"RSarules","RSarules","Random Sampling Association Rules from a Transaction Dataset"
"types","types","Type Annotations"
"dbfaker","dbfaker","A Tool to Ensure the Validity of Database Writes"
"ISR3","ISR3","Iterative Sequential Regression"
"scan","scan","Single-Case Data Analyses for Single and Multiple AB Designs"
"convertr","convertr","Convert Between Units"
"MethodCompare","MethodCompare","Bias and Precision Plots to Compare Two Measurements with"
"exp2flux","exp2flux","Convert Gene EXPression Data to FBA FLUXes"
"haploReconstruct","haploReconstruct","Reconstruction of Haplotype-Blocks from Time Series Data"
"rgw","rgw","Goodman-Weare Affine-Invariant Sampling"
"valorate","valorate","Velocity and Accuracy of the LOg-RAnk TEst"
"ptwikiwords","ptwikiwords","Words Used in Portuguese Wikipedia"
"sharpeRratio","sharpeRratio","Moment-Free Estimation of Sharpe Ratios"
"tsSelect","tsSelect","Execution of Time Series Models"
"sAIC","sAIC","Akaike Information Criterion for Sparse Estimation"
"ordDisp","ordDisp","Separating Location and Dispersion in Ordinal Regression Models"
"EBASS","EBASS","Sample Size Calculation Method for Cost-Effectiveness Studies"
"fixedTimeEvents","fixedTimeEvents","The Distribution of Distances Between Discrete Events in Fixed"
"expandFunctions","expandFunctions","Feature Matrix Builder"
"sBIC","sBIC","Computing the Singular BIC for Multiple Models"
